net_name,layer_name,fused_layer_type,in_mem,weight_mem,out_mem,operations,tp,batch_size,sequence_length
efficientnet_b0,layer9_features_2_0_block_2_fc2,start,1e-09,1e-09,0.0,12288,1,32,1
efficientnet_b0,layer9_features_2_0_block_2_fc2,middle,0.0,1e-09,0.0,12288,1,32,1
efficientnet_b0,layer9_features_2_0_block_2_fc2,end,0.0,1e-09,3.072e-06,12288,1,32,1
efficientnet_b0,layer9_features_2_0_block_2_fc2,single,1e-09,1e-09,3.072e-06,12288,1,32,1
efficientnet_b0,layer9_features_2_0_block_2_fc2,start,1e-09,1e-09,0.0,192,2,1,1
efficientnet_b0,layer9_features_2_0_block_2_fc2,middle,0.0,1e-09,0.0,192,2,1,1
efficientnet_b0,layer9_features_2_0_block_2_fc2,end,0.0,1e-09,4.8e-08,192,2,1,1
efficientnet_b0,layer9_features_2_0_block_2_fc2,single,1e-09,1e-09,4.8e-08,192,2,1,1
efficientnet_b0,layer9_features_2_0_block_2_fc2,start,1e-09,1e-09,0.0,6144,2,32,1
efficientnet_b0,layer9_features_2_0_block_2_fc2,middle,0.0,1e-09,0.0,6144,2,32,1
efficientnet_b0,layer9_features_2_0_block_2_fc2,end,0.0,1e-09,1.536e-06,6144,2,32,1
efficientnet_b0,layer9_features_2_0_block_2_fc2,single,1e-09,1e-09,1.536e-06,6144,2,32,1
gpt-1.3B_decode,layer0_1_v,start,2.048e-06,0.004194304,0.0,4194304,1,1,1
